Rapport;Period;Region;Yrkesomrade;Omsattning_msek
Q1_2026;2026-Q1;Stockholm;Teknik;106
Q1_2026;2026-Q1;Stockholm;Försäljning & Kundtjänst;60
Q1_2026;2026-Q1;Stockholm;Övrigt;53
Q1_2026;2026-Q1;Stockholm;Hälso- & Sjukvård;44
Q1_2026;2026-Q1;Stockholm;Life Science;14
Q1_2026;2026-Q1;Västsverige;Industri & Tillverkning;844
Q1_2026;2026-Q1;Västsverige;Lager & Logistik;556
Q1_2026;2026-Q1;Västsverige;IT;319
Q1_2026;2026-Q1;Västsverige;Teknik;106
Q1_2026;2026-Q1;Västsverige;Administration & Service;84
Q1_2026;2026-Q1;Västsverige;Ekonomi & Finans;78
Q1_2026;2026-Q1;Västsverige;Övrigt;49
Q1_2026;2026-Q1;Västsverige;Försäljning & Kundtjänst;43
Q1_2026;2026-Q1;Västsverige;Hälso- & Sjukvård;19
Q1_2026;2026-Q1;Västsverige;Life Science;13
Q1_2026;2026-Q1;Östra Mellansverige;Industri & Tillverkning;363
Q1_2026;2026-Q1;Östra Mellansverige;Lager & Logistik;320
Q1_2026;2026-Q1;Östra Mellansverige;Teknik;110
Q1_2026;2026-Q1;Östra Mellansverige;Administration & Service;71
Q1_2026;2026-Q1;Östra Mellansverige;Ekonomi & Finans;59
Q1_2026;2026-Q1;Östra Mellansverige;Övrigt;51
Q1_2026;2026-Q1;Östra Mellansverige;IT;32
Q1_2026;2026-Q1;Östra Mellansverige;Hälso- & Sjukvård;27
Q1_2026;2026-Q1;Östra Mellansverige;Försäljning & Kundtjänst;18
Q1_2026;2026-Q1;Östra Mellansverige;Life Science;2
Q1_2026;2026-Q1;Sydsverige;Lager & Logistik;267
Q1_2026;2026-Q1;Sydsverige;Industri & Tillverkning;261
Q1_2026;2026-Q1;Sydsverige;Ekonomi & Finans;78
Q1_2026;2026-Q1;Sydsverige;Teknik;67
Q1_2026;2026-Q1;Sydsverige;Administration & Service;60
Q1_2026;2026-Q1;Sydsverige;IT;52
Q1_2026;2026-Q1;Sydsverige;Övrigt;40
Q1_2026;2026-Q1;Sydsverige;Hälso- & Sjukvård;28
Q1_2026;2026-Q1;Sydsverige;Försäljning & Kundtjänst;24
Q1_2026;2026-Q1;Sydsverige;Life Science;6
Q1_2026;2026-Q1;Småland och öarna;Industri & Tillverkning;154
Q1_2026;2026-Q1;Småland och öarna;Lager & Logistik;96
Q1_2026;2026-Q1;Småland och öarna;Administration & Service;34
Q1_2026;2026-Q1;Småland och öarna;Hälso- & Sjukvård;18
Q1_2026;2026-Q1;Småland och öarna;Teknik;15
Q1_2026;2026-Q1;Småland och öarna;Övrigt;12
Q1_2026;2026-Q1;Småland och öarna;Ekonomi & Finans;8
Q1_2026;2026-Q1;Småland och öarna;Försäljning & Kundtjänst;6
Q1_2026;2026-Q1;Småland och öarna;IT;4
Q1_2026;2026-Q1;Småland och öarna;Life Science;0
Q1_2026;2026-Q1;Norra Mellansverige;Industri & Tillverkning;170
Q1_2026;2026-Q1;Norra Mellansverige;Lager & Logistik;48
Q1_2026;2026-Q1;Norra Mellansverige;Teknik;30
Q1_2026;2026-Q1;Norra Mellansverige;Hälso- & Sjukvård;21
Q1_2026;2026-Q1;Norra Mellansverige;Övrigt;20
Q1_2026;2026-Q1;Norra Mellansverige;Administration & Service;20
Q1_2026;2026-Q1;Norra Mellansverige;Ekonomi & Finans;8
Q1_2026;2026-Q1;Norra Mellansverige;IT;7
Q1_2026;2026-Q1;Norra Mellansverige;Försäljning & Kundtjänst;3
Q1_2026;2026-Q1;Norra Mellansverige;Life Science;0
Q1_2026;2026-Q1;Mellersta Norrland;Industri & Tillverkning;138
Q1_2026;2026-Q1;Mellersta Norrland;Övrigt;20
Q1_2026;2026-Q1;Mellersta Norrland;Teknik;15
Q1_2026;2026-Q1;Mellersta Norrland;Lager & Logistik;13
Q1_2026;2026-Q1;Mellersta Norrland;Hälso- & Sjukvård;13
Q1_2026;2026-Q1;Mellersta Norrland;Försäljning & Kundtjänst;12
Q1_2026;2026-Q1;Mellersta Norrland;Administration & Service;11
Q1_2026;2026-Q1;Mellersta Norrland;Ekonomi & Finans;10
Q1_2026;2026-Q1;Mellersta Norrland;IT;7
Q1_2026;2026-Q1;Mellersta Norrland;Life Science;0
Q1_2026;2026-Q1;Övre Norrland;Industri & Tillverkning;73
Q1_2026;2026-Q1;Övre Norrland;Lager & Logistik;49
Q1_2026;2026-Q1;Övre Norrland;Övrigt;36
Q1_2026;2026-Q1;Övre Norrland;Teknik;19
Q1_2026;2026-Q1;Övre Norrland;Administration & Service;18
Q1_2026;2026-Q1;Övre Norrland;Hälso- & Sjukvård;12
Q1_2026;2026-Q1;Övre Norrland;Ekonomi & Finans;11
Q1_2026;2026-Q1;Övre Norrland;Försäljning & Kundtjänst;10
Q1_2026;2026-Q1;Övre Norrland;IT;6
Q1_2026;2026-Q1;Övre Norrland;Life Science;0
