Datum;Bolag;Antal annonser;Antal tjanster;Nya annonser 30d;Nya tjanster 30d;Nya annonser 14d;Nya tjanster 14d;Nya annonser 7d;Nya tjanster 7d;Aktivitetstakt % (14d);% heltid;% tills vidare;% lang;% kort;% erfarenhet kravs;Top 3 regioner (totalt);Top 3 regioner (14 dagar);Top 3 yrkesomraden;Top 5 yrkesgrupper
2026-06-26;SJR;30;30;30;30;18;18;14;14;60.0;23.3;20.0;0.0;3.3;100.0;Stockholms län (20) | Skåne län (4) | Uppsala län (4);Stockholms län (13) | Skåne län (2) | Uppsala län (2);Administration, ekonomi, juridik (23) | Data/IT (3) | Försäljning, inköp, marknadsföring (2);Redovisningsekonomer (12) | Ekonomiassistenter m.fl. (5) | Löne- och personaladministratörer (2) | Ekonomi- och finanschefer (2) | Socialförsäkringshandläggare (1)
2026-06-26;Clockwork;60;88;57;83;39;60;23;40;65.0;73.3;43.3;0.0;46.7;100.0;Dalarnas län (13) | Stockholms län (11) | Västerbottens län (7);Stockholms län (11) | Västerbottens län (6) | Gävleborgs län (5);Pedagogik (13) | Bygg och anläggning (9) | Yrken med teknisk inriktning (8);Truckförare (4) | Grovarbetare inom bygg och anläggning (3) | Inköpare och upphandlare (3) | Montörer, metall-, gummi- och plastprodukter (3) | Kundtjänstpersonal (3)
2026-06-26;Logent;30;41;18;18;11;11;4;4;36.7;80.0;26.7;0.0;53.3;100.0;Skåne län (9) | Västra Götalands län (6) | Stockholms län (6);Skåne län (4) | Stockholms län (3) | Östergötlands län (1);Transport, distribution, lager (16) | Industriell tillverkning (5) | Försäljning, inköp, marknadsföring (4);Lager- och terminalpersonal (11) | Övriga bil-, motorcykel- och cykelförare (3) | Systemförvaltare m.fl. (2) | Ordersamordnare m.fl. (2) | Speditörer och transportmäklare (2)
2026-06-26;Bemannia;41;41;39;39;26;26;16;16;63.4;48.8;4.9;0.0;43.9;100.0;Stockholms län (17) | Västra Götalands län (9) | Dalarnas län (7);Stockholms län (12) | Västra Götalands län (7) | Västernorrlands län (2);Administration, ekonomi, juridik (15) | Pedagogik (9) | Chefer och verksamhetsledare (3);Personal- och HR-specialister (5) | Lager- och terminalpersonal (3) | Löne- och personaladministratörer (3) | Barnskötare (3) | Grundskollärare (3)
2026-06-26;Framtiden i Sverige;122;123;97;98;40;41;21;22;32.8;100.0;100.0;0.0;0.0;100.0;Stockholms län (22) | Östergötlands län (22) | Jönköpings län (16);Skåne län (8) | Jönköpings län (8) | Östergötlands län (7);Yrken med teknisk inriktning (47) | Data/IT (26) | Försäljning, inköp, marknadsföring (11);Ingenjörer och tekniker inom maskinteknik (15) | Ingenjörer och tekniker inom elektroteknik (9) | Mjukvaru- och systemutvecklare m.fl. (9) | Företagssäljare (8) | Systemadministratörer (6)
2026-06-26;Professionals Nord;198;222;159;183;105;115;51;58;53.0;95.5;90.9;0.0;8.6;100.0;Norrbottens län (64) | Västra Götalands län (29) | Stockholms län (20);Norrbottens län (30) | Västra Götalands län (19) | Västerbottens län (11);Bygg och anläggning (38) | Installation, drift, underhåll (38) | Yrken med teknisk inriktning (36);Företagssäljare (14) | Civilingenjörsyrken inom maskinteknik (11) | Underhållsmekaniker och maskinreparatörer (10) | VVS-montörer m.fl. (10) | Civilingenjörsyrken inom elektroteknik (9)
2026-06-26;Bravura;144;144;87;87;35;35;12;12;24.3;90.3;72.9;0.0;18.1;100.0;Stockholms län (63) | Skåne län (24) | Västra Götalands län (17);Stockholms län (13) | Skåne län (7) | Västra Götalands län (6);Administration, ekonomi, juridik (29) | Försäljning, inköp, marknadsföring (25) | Data/IT (25);Kundtjänstpersonal (16) | Mjukvaru- och systemutvecklare m.fl. (14) | Företagssäljare (12) | Transportledare och transportsamordnare (10) | Civilingenjörsyrken inom logistik och produktionsplanering (6)
2026-06-26;Jurek;37;37;34;34;21;21;9;9;56.8;59.5;10.8;0.0;56.8;100.0;Stockholms län (16) | Östergötlands län (9) | Västra Götalands län (7);Stockholms län (7) | Östergötlands län (6) | Västra Götalands län (4);Administration, ekonomi, juridik (27) | Chefer och verksamhetsledare (4) | Försäljning, inköp, marknadsföring (3);Personal- och HR-specialister (7) | Övriga kontorsassistenter och sekreterare (5) | Ekonomiassistenter m.fl. (4) | Ekonomi- och finanschefer (3) | Inköpare och upphandlare (3)
2026-06-26;TNG Group;43;43;40;40;17;17;9;9;39.5;95.3;93.0;0.0;4.7;100.0;Stockholms län (26) | Örebro län (6) | Västra Götalands län (5);Stockholms län (10) | Västra Götalands län (4) | Örebro län (1);Data/IT (13) | Försäljning, inköp, marknadsföring (10) | Administration, ekonomi, juridik (7);Mjukvaru- och systemutvecklare m.fl. (11) | Företagssäljare (7) | Maskinställare och maskinoperatörer, metallarbete (3) | Personal- och HR-specialister (3) | Inköpare och upphandlare (3)
2026-06-26;Eterni Sweden;77;112;75;110;40;52;20;24;51.9;94.8;100.0;0.0;0.0;100.0;Kronobergs län (17) | Skåne län (15) | Västra Götalands län (15);Kronobergs län (9) | Skåne län (8) | Västra Götalands län (7);Industriell tillverkning (32) | Administration, ekonomi, juridik (10) | Transport, distribution, lager (8);Maskinställare och maskinoperatörer, metallarbete (11) | Montörer, metall-, gummi- och plastprodukter (7) | Lednings- och organisationsutvecklare (6) | Truckförare (6) | Ingenjörer och tekniker inom maskinteknik (5)
